"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:51:20 GMT 2025","Wed Mar 19 19:51:21 GMT 2025","375","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:22 GMT 2025","Wed Mar 19 19:51:24 GMT 2025","1946","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:25 GMT 2025","Wed Mar 19 19:51:26 GMT 2025","714","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:35 GMT 2025","Wed Mar 19 19:51:36 GMT 2025","487","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:26 GMT 2025","Wed Mar 19 19:51:27 GMT 2025","1188","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:32 GMT 2025","Wed Mar 19 19:51:32 GMT 2025","357","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:28 GMT 2025","Wed Mar 19 19:51:29 GMT 2025","562","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:28 GMT 2025","Wed Mar 19 19:51:29 GMT 2025","711","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:29 GMT 2025","Wed Mar 19 19:51:31 GMT 2025","1302","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:30 GMT 2025","Wed Mar 19 19:51:30 GMT 2025","768","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:27 GMT 2025","Wed Mar 19 19:51:27 GMT 2025","379","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:51:20 GMT 2025","Wed Mar 19 19:51:21 GMT 2025","565","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:31 GMT 2025","Wed Mar 19 19:51:31 GMT 2025","644","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:51:22 GMT 2025","Wed Mar 19 19:51:23 GMT 2025","1501","firefox","example.spec.js","","","","Test#1 | has title",""
