"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","458","get started link","Mobile Chrome","Thu Dec 26 10:10:56 UTC 2024","passed","Thu Dec 26 10:10:57 UTC 2024","","example.spec.js","",""
"","1045","has title","webkit","Thu Dec 26 10:10:52 UTC 2024","passed","Thu Dec 26 10:10:54 UTC 2024","","example.spec.js","",""
"","11890","has title","Microsoft Edge","Thu Dec 26 10:10:59 UTC 2024","passed","Thu Dec 26 10:11:10 UTC 2024","","example.spec.js","",""
"","544","get started link","chromium","Thu Dec 26 10:10:46 UTC 2024","passed","Thu Dec 26 10:10:47 UTC 2024","","example.spec.js","",""
"","644","has title","Google Chrome","Thu Dec 26 10:11:34 UTC 2024","passed","Thu Dec 26 10:11:35 UTC 2024","","example.spec.js","",""
"","411","has title","chromium","Thu Dec 26 10:10:46 UTC 2024","passed","Thu Dec 26 10:10:47 UTC 2024","","example.spec.js","",""
"","3957","get started link","firefox","Thu Dec 26 10:10:48 UTC 2024","passed","Thu Dec 26 10:10:52 UTC 2024","","example.spec.js","",""
"","758","has title","Mobile Safari","Thu Dec 26 10:10:57 UTC 2024","passed","Thu Dec 26 10:10:58 UTC 2024","","example.spec.js","",""
"","12510","get started link","Microsoft Edge","Thu Dec 26 10:10:59 UTC 2024","passed","Thu Dec 26 10:11:12 UTC 2024","","example.spec.js","",""
"","292","has title","Mobile Chrome","Thu Dec 26 10:10:56 UTC 2024","passed","Thu Dec 26 10:10:56 UTC 2024","","example.spec.js","",""
"","616","get started link","Google Chrome","Thu Dec 26 10:11:34 UTC 2024","passed","Thu Dec 26 10:11:35 UTC 2024","","example.spec.js","",""
"","1679","get started link","webkit","Thu Dec 26 10:10:54 UTC 2024","passed","Thu Dec 26 10:10:55 UTC 2024","","example.spec.js","",""
"","1528","has title","firefox","Thu Dec 26 10:10:48 UTC 2024","passed","Thu Dec 26 10:10:49 UTC 2024","","example.spec.js","",""
"","1072","get started link","Mobile Safari","Thu Dec 26 10:10:58 UTC 2024","passed","Thu Dec 26 10:10:59 UTC 2024","","example.spec.js","",""
